name,description
Access Health Radio,Join Dr. Brian Forrest each week for a new health topic. Adult vaccines. Victorian Britain from Down East Hearing Care Associates. Red meat. End of life planning. Making and keeping new years resolutions to improve your health. Finding peace during the holidays.
Ace In The Cornhole Show!,"A Cornhole Journeyman on his quest for greatness with friends and competition all along the way! Quick recap of the work being put in for the bags, boards and the glory of Winter 2020

--- 

This episode is sponsored by 
· Anchor: The easiest way to make a podcast.  https://anchor.fm/app To know where we are going let’s talk about where we officially last left off!

--- 

This episode is sponsored by 
· Anchor: The easiest way to make a podcast.  https://anchor.fm/app The humble journey of a guy on the hunt for the ultimate Cornhole competition!

--- 

This episode is sponsored by 
· Anchor: The easiest way to make a podcast.  https://anchor.fm/app"
Ace Of Spada:,"Getting insight from Fitness People throughout the world.Applying those lifestyle choices and bettering yourself.Go out and Get Some! On today's episode we discuss dealing with addiction, gratitude, vulnerability in male's and more.

To find Brad, his instagram handle is @thesoberbodybuilder. He also has a podcast called the Key Nutrition Podcast

To find Anthony, his instagram handle is @spadafitness. You can also reach him at spadafitness@gmail.com for any inquiries, questions, and if you want to be a guest on the podcast. On today's episode, we discuss scarcity mindset, gratitude, what it means to be successful, working as a couple, and more 

To find Erin, you can reach her on instagram @erindimondfitness. All of her programs are available through the link in her bio.

To find Jordan, you can reach him on instagram @duggaesthetics. All of his programs are available through the link in his bio. 

Together, they run the Flow State of Mind podcast, which is available everywhere. I highly recommend everyone go listen as I do everyday. 

To find Anthony, his instagram handle is @spadafitness. You can also reach him at aspada1027@gmail.com for any inquiries, questions, and if you want to be a guest on the podcast. On today's episode it is just the mic and myself. I wanted to give my personal journey of 2019, letting you know my ups and my downs. I went very deep on my downs from this year and how I grew from them. 

Thank you to everyone who has listened to the podcast as I have just surpassed 1,000 listens and downloads. I am so thankful to have my voice heard by so many people.

If you like what you hear, give this podcast a subscribe and review as it helps get my podcast out to the world. 

Love you all and thank you again! On today's episode we discuss Competition Prep. We discuss the mental effects, dealing with cortisol, why suits, hair, makeup, and tan matter. How to utilize peak week to your advantage and more.

To find Dylan, his instagram handle is @dylanbair_rd. To find Lauren, her instagram handle is @_fitness_1st. To inquire about their coaching visit https://www.bairaesthetics.com/ or email BairAesthetics@gmail.com 

To find Anthony, his instagram handle is @spadafitness. You can also reach him at aspada1027@gmail.com for any inquiries, questions, and if you want to be a guest on the podcast. On today's episode we discuss mindfulness, creating an environment for success, how to use Psychedelics and marijuana for personal growth, and much more

To find Sean, his instagram handle is @fitnessshaman. He is also a coach for @DLDnation along with his wife @dalalovesdumbbells

To find Anthony, his instagram handle is @spadafitness. You can also reach him at aspada1027@gmail.com for any inquiries, questions, and if you want to be a guest on the podcast. Today we discuss a bunch of topics with lots of random thoughts!

Don't forget to Subscribe and leave a review! It helps the podcast out a lot!

To find Matt, his instagram is @mattmcleod

To find Anthony, his instagram is @spadafitness. His email is aspada1027@gmail.com if you have any questions you want to ask!"
Achieve's Podcast,Achieve Fitness Podcast is about health and sport. Tips and solutions for everyone who is keen on sport and healthy life style. THE DIFFERENCE BETWEEN AEROBIC AND ANAEROBIC EXERCISE HOW TO AVOID THE CHRISTMAS BULGE
Achilles Running Podcast,"Wir sprechen mit enstpannten und kompetenten Menschen, die sich mit Laufen, Fitness, Gesundheit und Ernährung auskennen. www.achilles-running.de Ein Halbmarathon ist kein halber Marathon. So ganz und gar nicht. Und ein Halbmarathon ist auch nicht weniger Wert als ein Marathon. Es ist eine eigene Disziplin und sollte auch so betrachtet werden. Mit diesem Ansatz haben wir wieder unseren Laufcoach Lucas Przygodda zu uns gebeten. Wir durchsprechen den gesamten Fahrplan: von den Voraussetzungen über die langen Laufen bis hin zum wohlverdienten Wettkampf.

Podcast zu: Wie werde ich schneller?: https://achilles-podcast.podigee.io/55-schneller-werden-mit-coach-lucas

Deutscher Podcastpreis: https://www.deutscher-podcastpreis.de/podcasts/achilles-running/ 

-------------

Athletic Greens findest du hier: https://www.achilles-running.de/hier-sind-deine-neuen-wettbewerbsvorteile/

-------------

Bild: Christian Brecheis

Musik: The Artisans Beat - Man of the Century Entzündungen – ein leidiges Thema, das viele von uns Laufenden verfolgt. Knie, Hüfte, Rücken sind vor allem beliebte Regionen der elendigen Schmerzen. Aber, zum Glück, ist das nicht in Stein gemeißelt und es gibt verschiedene Möglichkeiten zur Behandlung und Prävention. 
Diese besprechen wir mit Sportmediziner Dr. Pouria Taheri. Mit Achilles-Running-Redakteurin Eileen spricht der Orthopäde über Tipps und Tricks, welche Rolle Ernährung spielt und warum manche Athlet*innen das Essiggurkenwasser trinken.

------------

Vote für uns beim Deutschen Podcast-Preis: https://www.deutscher-podcastpreis.de/podcasts/achilles-running/

--------------

Podcast zu Übertraining: https://achilles-podcast.podigee.io/37-uebertraining

----------------

Athletic Greens: https://www.achilles-running.de/hier-sind-deine-neuen-wettbewerbsvorteile/

----------------

Bild: Achilles Running
Musik: The Artisans Beat - Man of the Century 200 Kilogramm wog Guido noch vor vier Jahren. Jetzt wiegt er 120 Kilogramm weniger und läuft den Marathon in zuletzt 3:17 Stunden. 
Guido Sander hat sein Leben von einem auf den anderen Tag komplett umgestellt. Keinen Zucker, Bewegung und leichter Sport führten dazu, dass er innerhalb kürzester Zeit abnahm und seine Liebe zum Laufen entdeckte. 
Mit Achilles-Running-Redakteurin Eileen spricht der 47-Jährige über seinen krassen Lebenswandel, wie viel Selbstoptimierung möglich ist und warum er Nüsse nicht als Essen ansieht. 

-------------------

Athletic Greens: https://www.achilles-running.de/hier-sind-deine-neuen-wettbewerbsvorteile/

------------------

Guidos Webseite: https://guido-sander.de/

Musik: The Artisans Beat - Man of the Century

Bild: Guido Sander Die Marathonläuferin Lina Maria Kotschedoff ist fast blind und will sich davon nicht unterkriegen lassen. Stattdessen hat sie sich vorgenommen dies zu ihrer Stärke zu machen. Sie will mit ihrer Geschichte Aufmerksamkeit generieren und Spenden sammeln. Alle zwei Jahre bei einem Marathon für eins ihrer Herzensprojekte. Nachdem sie im vergangenen Jahr in Düsseldorf die 42,195 km besiegt hat, steht im März 2020 Barcelona an. Dieses Mal will sie Geld für eine Ballettschule für sehbehinderte und blinde Kinder in Brasilien sammeln.

Im Achilles-Running-Podcast erzählt die Deutsch-Brasilianerin vom Verlust ihrer Sehfähigkeit, wieso sie mit ihrer Sehbeinträchtigung auch mal provozieren will und warum sie schon wie ein Frosch durch die Düsseldorfer Innenstadt gehopst ist.



Lina auf Instagram: https://www.instagram.com/lina_maria__aka_unicorn/

Linas Webseite: https://linarennt.de/

----------

Karower Dachse suchen Guides fürs Lauftandem: https://karowerdachse.de/

----------

Musik: The Artisans Beat - Man of the Century

Bild: Lina Maria Kotschedoff Jeden Monat. Blut, Blähungen und Bauchschmerzen. Viele Menstruierende würden gerne diesen Teil aus ihrem Leben streichen. Der Zyklus ist doof, nervt und – das wissen wenige – ist super wichtig für Ausdauersportler*innen. 
Mit Dr. Cordula Schippert, Gynäkologin und ehemalige Leistunssportlerin, sprechen wir über den Einfluss von Hormonen auf den Leistungssport, wie Ermüdungsbrüche und die Periode zusammenhängen und warum man als Pille-nehmende-Läufer*in im Marathontraining auf gar keinen Fall dehydrieren darf.  

Warum die Periode im Training ausbleibt: https://www.achilles-running.de/zu-viel-training-warum-die-periode-ausbleiben-kann/

-----------

Bild: Cordula Schippert

Musik: The Artisans Beat - Man of the Century Ludwigs Geschichte bereitet Gänsehaut. Nur sieben Monate nach seiner Leukämie-Diagnose stand er an der Startlinie des Berlin Marathons. Alles, was davor, dazwischen und danach passierte ist beeindruckend. Er ist seine Krebs-Therapie wie ein Arbeitsprojekt angegangen und hat dafür sogar ein Kompetenzteam zusammengestellt.
Ein Gespräch über deutsch-japanische Kulturunterschiede, Ärzte im AC/DC Shirt und den Willen einen Marathon nach dieser Diagnose zu laufen. 

---------

Ludwigs Instagram Kanal: https://www.instagram.com/funrunninglou/ 

Achilles Running auf Instagram: https://www.instagram.com/achilles.running/

------------


Bild: Ludwig von Wolff

Musik: The Artisans Beat - Man of the Century"
Action 30,"Action 30 is an “edutainment” podcast showing how to use science to to boost health and appearance while fighting disease and injury, using nostalgic music and “humor” to inspire listeners.  Recommendations are based on Colin’s opinions and those of his guests, who are licensed medical professionals and leaders in their field. Action 30 is 100% based on research, science and clinical experience.  Sponsors and advertisers have no influence on content. GUEST: orthopedic surgeon Robert Sandmeier, MD



 	* Common causes, treatments

 	* How to use exercise as a treatment tool

 	* How passive treatments can cause more harm than good

 	* When surgery should be considered and what to do afterward GUEST: orthopedic spine surgeon Rafe Sales, MD







* Common causes, treatments and misconceptions

* Using exercise therapy as a treatment and prevention tool

* How passive treatments and drugs can cause more harm than good

* When surgery is a viable option and what to ask the surgeon GUEST: licensed dietician Marisa Michael, RD, LD







* Using your mind to drive your action plan

* Using science to minimize the time needed to complete your program

* Minimizing joint stress/pain by using biomechanically sound techniques

* Essentials of healthy eating and what science says about fad diets Introducing the Action 30 podcast, hosted by Doctor of Physical Therapy and trainer Colin Hoobler.Action 30 is an educational and motivational podcast on the use of efficient exercise and eating habits to boost health and fight disease/injury.  Recommendations are based on opinions of the host and his guests, who are licensed medical professionals and/or considered leaders in their field.Action 30 content is based on research, science and/or expert clinical opinions and not influenced by sponsors or advertisers.  Support the podcast at https://www.patreon.com/action30"
Active Leeds,"Active Leeds from Leeds City Council has 16 leisure centres in the area and is on a mission to make the city the best place in which to be active.  Go behind the scenes to learn from fitness experts, hear inspiring stories from members about their fitness journeys and discover more about the range of facilities on offer. In this episode Rich finds out some of the ways physical activity improves our mental health.  We hear from Eleanor Thomson about how improving her fitness levels have had a dramatic impact on her life.  We also catch up with Fitness Co-ordinator Simon for some tips and with Ashley Cooper about their current ‘Love Yourself’ mental health campaign. Rich Williams heads to Rothwell to go behind the scenes at Active Leeds.   He chats with Fitness Co-ordinator Simon about fitness from overcoming the barriers to setting goals and gives some myth-busting tips for successful healthy weight loss.  He also hears from centre member Kirsty about her fitness journey and how she is achieving her goals."
Active Vegans,"Your host Connor McDonald is a Health & Fitness professional and founder of Active Vegans. He created the active vegans to help spread awareness and inspiration about health, fitness, lifestyle and all things vegan. Veganuary is a movement which has picked up pace in the last few years and this year is no different. Over 300,000 people have already signed up to the pledge of not consuming or using any products containing animal products for the whole month of January. 

In todays podcast I talk you through the Veganuary setup and how you can take part, then I cover the latest statistics on animal agriculture, Our environment, health and how going vegan could drastically improve each of these areas.  

Resources:

Veganuary - https://uk.veganuary.com/
Statistics - https://www.vegansociety.com/news/media/statistics
Ocean Plastics - https://www.ecowatch.com/ghost-gear-oceans-2544526011.html

Documentaries:

British Farming - https://youtu.be/dvtVkNofcq8
Animal Exploitation - https://youtu.be/w8B547L5VkQ
Home (our planet) - https://youtu.be/ZjE9T-KQZOU
Farmed Fish - https://youtu.be/RYYf8cLUV5E Topics we discuss in the podcast 

Connors blood work. Blood testing is becoming more accessible and Liam talks through how best to interpret your results, the dangers of doing one-off testing, why you need to use subjective markers as well and his experience with testing elite athletes.

We covered macronutrients and calorie splits and spoke about the issues of eating a higher calorie plant based diet. 

Liam then walked us through the 6 week program and explained why the program is split into 3 phases - 
Weeks 1-2 - building your baseline
Weeks 3-4 - Adjust and personalise
Weeks 5-6 - Assess and progress
Connor and Liam will be posting updates via instagram (@ph_nutrition) and @plantbasedgames and if there are any questions please reach out to us both!

We are off to lift, eat and get strong.

Listen, share and enjoy! In preparation for the Plant Based Based Games Performance nutritionist Liam Holmes joined me on the podcast to breakdown everything athletes need to know about how to fuel themselves for competition. We covered pre comp and the weeks leading up to the event, comp day - the morning of competing, during and in between workouts/days and also post comp. It was really interesting to hear about how planned nutrition can be and the fact that practicing eating certain snacks during training in the lead up to the event will enable to workout which foods suit you best for the performance you want. Another important point which we covered was that it all comes down to each individual athlete, there is no one size fits all when it comes to nutrition. Going off you own experiences will be the most important information you will receive. 

A fascinating topic we talked about was a programmed designed by Liam called ""How to be a fitter women"".  -The tried, tested, and proven system that rejuvenates female health, eliminates the crippling issues that affect you around your menstrual cycle, handle hormonal chaos with ease, and enhance your functional fitness performance to the levels that you dream of.
Without crazy cleanses, detoxes, extreme diets, and complete lifestyle overhaul.

more information can be found here:
http://www.phnutrition.co.uk/how-to-be-a-fitter-woman-heading

As mentioned in the intro we will be working with:

Vibrant Vegan: https://vibrantvegan.co.uk/ - Our globally inspired dishes are packed with locally sourced, whole plant-based ingredients, as they taste delicious and are fabulous for nourishing your mind, body and spirit. We deliver them straight to your door frozen, so busy peeps like you don’t have to think about cooking or eating ridiculously well all week. We make every day infinitely easier and healthier, so you’ve got more free time and heaps of energy to surf life’s rainbow. 

Rawsports Nutrition: https://www.rawsport.com/  The owners, all keen sports enthusiasts, found sourcing quality sports nutrition supplements difficult. Many were of poor quality and full of artificial additives. It was this major pain point that drove the desire to create a range of products that they would be happy to personally consume themselves.

The owners have been able to use their extensive knowledge of nutritional science, herbs, and superfoods to deliver a range of supplements that deliver all the key components of athletic performance and recovery. No stone has been left unturned in the quest to design products that taste great, use the finest ingredients available, contain zero additives and are affordable.

It is our promise to deliver sports nutrition products that have a positive effect on health, athletic performance and recovery. Our passion and ethos for quality can be reflected in our product range and we hope to inspire people to take health and performance to the next level.

For more information on the Plant Based Games head to https://theplantbasedgames.com/

Thanks for listening, If you enjoyed this episode then please like, share &amp; subscribe.

Connor On this episode i caught up with Brendan Bale who is the founder and creator of The Green Gazelles Rugby Club. The Green Gazelles is the Uk's Only Vegan rugby club where all of the Players follow a plant based diet. 

We talked about the inspiration behind GG and whats in the pipeline going into 2020. If you're interested joining the Green Gazelles, wether thats as a player on as a park of the background, management team or even as a sponsor the we'd love to hear form you. 

For more information you can head to www.greengazellesrugbyclub.com
or email greengazellesrugby@gmail.com

For more info on the Plant Based Games then head over to www.theplantbasedgames.com

Thanks for listening, If you enjoyed this podcast then please share, like and review. 

Connor This was a recording of a Nutrition talk presented by Liam Holmes as a part of the Active Vegans Training day. Liam is a performance nutritionist owner of PH Nutrition,  Liam Specialises in sports nutrition, Crossfit Nutrition and optimising health. Liam was also joined by Lee Steggles who is a crossfit athlete &amp; co-owner of Crossfit Shapesmith London which is where this event was held. 

**Apologies for the background noise**

Alongside running pH Nutrition Liam's current roles include

Consultant nutritionist for FC Copenhagen

Previous experience includes 

3 years at Tottenham Hotspur Football Club

3 years at Republic of Ireland national team

8 years at Fulham Football Club

My philosophy is one of an individualised approach to nutrition. Using pioneering assessment techniques alongside a personal approach to nutrition we can work together to achieve your goals.

Combining the knowledge and skills gained from working in the elite sporting environment with attending numerous courses and seminars, I have acquired a unique skill set to help you achieve your goals.

The majority of my work includes consulting for CrossFit athletes, footballers, cyclists and triathletes. I have achieved fantastic results in improving their health using a individualised approach to nutrition. No matter where you are on your journey in health and fitness I can help you achieve your goals. 

WEBSITE - http://www.phnutrition.co.uk/

If you want to know more about our upcoming fitness event in November - The Plant Based Games, then head over to http://www.theplantbasedgames.com or contact us at info@theplantbasedgames.com

I hope you enjoy this episode, if you did then please like, share and subscribe. 

Thanks

Connor On todays podcast we were joined by Aaron Cattell who is a Nutritionist &amp; Personal trainer (BSc) specialising in body transformations for busy professionals on a Plant- Based Diets. We were also joined by Adam Stansbury how is a Personal trainer, Nutrition and Animal Flow coach. 

We covered a lot of areas within health, fitness &amp; Nutrition by answering some of the most common questions asked as well as delving into the land of the Keto diet and how it may cause more damage than good. 

A plant-based diet is the only diet which has been scientifically proven to reverse, treat and cure some of the worlds leading diseases such as hearts disease, diabetes, stroke &amp; bowl &amp; prostate cancer. A reason why we created this podcast was to share this information with you the public so that you can make better decision when it comes to food choices. 

If you have any questions then please feel free to contact us and we'll be sure to get back to you. 

Aaron Cattell - @the_plantpowered_coach
Adam stansbury - @theplantpoweredpt
Connor McDonald (Host) @connormcdonald_uk

Thanks for listening, I really hope that you enjoy this podcast. If you did then please subscribe, like, share and leave a rating. 

Thanks you 

Connor 



Thanks for"
Activesenior's podcast,"Senior resources for staying healthy and active. Active senior podcast- senior activity information, Activity ideas, health information for the elderly."
ACTIVIDAD FISICA,"en este podcast encontraras muchas opciones de actividad física, platicaremos sobres las opciones que se tienen para tener una vida saludable. En este podcast encontraras las ventajas de realizar una actividad física en tu vida diaria."
Adam McCreevy - Ask My Ma,"Fitness & sports conditioning coach Adam McCreevy delivers his podcast along side his lovely mother, Rosemary. Features weekly guests discussing everything from family life to social & work pressure."
