reviews,ratings,reviews_comb,ratings_sum,ratings_count
"['One stop shop There are soo many podcast out there to choose from. And many are focus on either nutrition, work out tips, health, wellness, mind... and on occasion have good content. I find adaptation pod casts gives me all I need w/r/t health and wellness (mind body and soul). The topics are always relevant. The guests are amazing where you’ll end up following after show. Adaptation allows you to listen to true experts and expand your mind. I highly recommend these shows. Thank you for helping me be my best version of myself!', 'Simply awesome. Informative shows with deep expert knowledge Steve’s podcast continues to blow me away with it’s relevance, wide variety of content and the level of depth that is covered in each episode. I’m addicted and continue to be amazed at the quality of these conversations and what I’m able to take away from each one. My favorite podcast, no question.', 'Informative and Enlightening This podcast really stands above other wellness and fitness podcasts/blogs. I love the variety of topics across the multi-episode schedule. Each episode offers eye opening content and habit altering ideas to improve your mind and body. Everyone can benefit and take something away from the excellently moderated conversations. The Guests are honest, deferential, and erudite. The perfect ingredients for an excellent podcast. Enjoy!', ""Good concept content is lacking It's really hard to listen to, audio is pretty bad (too echoey, etc) I don't see where these two are qualified to give health / strength / nutrition related material. Their site just shows pictures of what they suggest to eat with no recipes, workout videos are super short with non breakdown of what you should do, frequency, intensity, etc.""]","[5, 5, 5, 2]","One stop shop There are soo many podcast out there to choose from. And many are focus on either nutrition, work out tips, health, wellness, mind... and on occasion have good content. I find adaptation pod casts gives me all I need w/r/t health and wellness (mind body and soul). The topics are always relevant. The guests are amazing where you’ll end up following after show. Adaptation allows you to listen to true experts and expand your mind. I highly recommend these shows. Thank you for helping me be my best version of myself! Simply awesome. Informative shows with deep expert knowledge Steve’s podcast continues to blow me away with it’s relevance, wide variety of content and the level of depth that is covered in each episode. I’m addicted and continue to be amazed at the quality of these conversations and what I’m able to take away from each one. My favorite podcast, no question. Informative and Enlightening This podcast really stands above other wellness and fitness podcasts/blogs. I love the variety of topics across the multi-episode schedule. Each episode offers eye opening content and habit altering ideas to improve your mind and body. Everyone can benefit and take something away from the excellently moderated conversations. The Guests are honest, deferential, and erudite. The perfect ingredients for an excellent podcast. Enjoy! Good concept content is lacking It's really hard to listen to, audio is pretty bad (too echoey, etc) I don't see where these two are qualified to give health / strength / nutrition related material. Their site just shows pictures of what they suggest to eat with no recipes, workout videos are super short with non breakdown of what you should do, frequency, intensity, etc.",17,4
[''],[0], ,0,1
[''],[0], ,0,1
"['ATF covers the 360 of life! I really enjoyed my segment with Shannon. She and Nicholas care deeply about the whole person-mind, body and spirit. Keep those episodes coming! Dana', 'Awesome Podcast!! Nicholas & Shannon, host of the Addicted To Fitness Podcast, highlights all aspects of fitness, nutrition and more in this can’t miss podcast! The hosts and expert guests offer insightful advice and information that is helpful to anyone that listens!', 'Healthy treats I enjoyed this weeks podcast! I’m glad you tasted those treats because I almost bought one at the store. You saved me some money!', 'Great Podcast! You guys have a good flow, great info and easy to listen to. Especially love the Stick Mobility episode with Dennis Dunphy. Keep spreading the positivity and helpful insights!', 'Current fitness conversations & content I love listening to The Addicted To Fitness podcast. The topics are relevant and fresh in the ever changing world surrounding living a healthy lifestyle. They also host great wellness influencers and guests.', 'Fun & Insightful Love the Addicted to Fitness Podcast!! Shannon and Nick make such a great team, offering up tons of information and tips, and providing lots of laughs along the way!!', 'Engaging & Insightful! Nick and Shannon cover a host of interesting health and fitness topics every week. Very informative!', 'Nice job! Excellent podcast on fitness. Enjoy the interviews and love the banter between Nick and Shannon.', 'Great trainer Nick is the best guy to train with in Tampa!', 'Keep it coming! Nick and Shannon really know how to keep an audience interested with the topics they discuss. I just listened for almost 5 hours on a road trip and learned a great deal about nutrition, fitness, food, and fads, and absolutely loved the relationship between these two as co-hosts. The topics were relevant and I laughed and learned so much! Definitely recommend this pod cast to anyone who wants to learn about nutrition, has a good sense of humor, appreciates debates, and enjoys good conversation. Keep it coming, Nick and Shannon!', 'Nicholas is a good interviewer And that is important. Very prepared. One thing I like is the prep before the interview and the conversation after the interview with his cohost.', 'Great trainer and podcaster As a personal trainer, Nick is everything you could ask for. He is very proficient at creating workouts specifically for your health and fitness goals. At times, he may have to adjust a workout on the fly due to weather disruptions or a clients inability to perform a certain exercise. He can do this without breaking a sweat.']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","ATF covers the 360 of life! I really enjoyed my segment with Shannon. She and Nicholas care deeply about the whole person-mind, body and spirit. Keep those episodes coming! Dana Awesome Podcast!! Nicholas & Shannon, host of the Addicted To Fitness Podcast, highlights all aspects of fitness, nutrition and more in this can’t miss podcast! The hosts and expert guests offer insightful advice and information that is helpful to anyone that listens! Healthy treats I enjoyed this weeks podcast! I’m glad you tasted those treats because I almost bought one at the store. You saved me some money! Great Podcast! You guys have a good flow, great info and easy to listen to. Especially love the Stick Mobility episode with Dennis Dunphy. Keep spreading the positivity and helpful insights! Current fitness conversations & content I love listening to The Addicted To Fitness podcast. The topics are relevant and fresh in the ever changing world surrounding living a healthy lifestyle. They also host great wellness influencers and guests. Fun & Insightful Love the Addicted to Fitness Podcast!! Shannon and Nick make such a great team, offering up tons of information and tips, and providing lots of laughs along the way!! Engaging & Insightful! Nick and Shannon cover a host of interesting health and fitness topics every week. Very informative! Nice job! Excellent podcast on fitness. Enjoy the interviews and love the banter between Nick and Shannon. Great trainer Nick is the best guy to train with in Tampa! Keep it coming! Nick and Shannon really know how to keep an audience interested with the topics they discuss. I just listened for almost 5 hours on a road trip and learned a great deal about nutrition, fitness, food, and fads, and absolutely loved the relationship between these two as co-hosts. The topics were relevant and I laughed and learned so much! Definitely recommend this pod cast to anyone who wants to learn about nutrition, has a good sense of humor, appreciates debates, and enjoys good conversation. Keep it coming, Nick and Shannon! Nicholas is a good interviewer And that is important. Very prepared. One thing I like is the prep before the interview and the conversation after the interview with his cohost. Great trainer and podcaster As a personal trainer, Nick is everything you could ask for. He is very proficient at creating workouts specifically for your health and fitness goals. At times, he may have to adjust a workout on the fly due to weather disruptions or a clients inability to perform a certain exercise. He can do this without breaking a sweat.",60,12
"['Excellent Tennis Podcast!!! This is the best tennis podcast I have ever listened to. Michelle and Ryan know there tennis and always keep it fun!', 'Love this podcast! This is a great podcast for club level players looking to up their game with real world tennis tips. And super fun to listen to! Keep up the great work - looking forward to more episodes! 💜🎾💜🎾', 'Fuel your supercharged tennis game I have been a devoted customer of GoGo Goodness for about a year now. I still cannot believe how delicious and nutritious the products are. I actual feel good after I eat them, unlike other sweets that have white sugar and when I eat them I don’t feel well afterwards. I really like the descriptions of the products and can feel the passion that goes into one. The baked goods are always moist and not too sweet. The Best Friend granola, Sublime Truffles and Bella Bites are my favorites! Keep up the great work!', 'Addictive to Sets Tennis Podcast How to Fuel your Supercharged Tennis game with Healthy yet Tasty Food episode provides a great overview of GoGoGoodness.com. I have tried several of the Goodies they offer. Every item I’ve tried was delicious. Knowing the products are healthy is a bonus. Try some and you will want more.', 'Great stuff for club players! Michelle has such a nice voice, makes listening to the podcast a relaxing experience. The questions that she asks her guests are right on point and keep the banter light and amusing. High quality podcast catering to the club player — thanks for putting this out there!']","[5, 5, 5, 5, 5]","Excellent Tennis Podcast!!! This is the best tennis podcast I have ever listened to. Michelle and Ryan know there tennis and always keep it fun! Love this podcast! This is a great podcast for club level players looking to up their game with real world tennis tips. And super fun to listen to! Keep up the great work - looking forward to more episodes! 💜🎾💜🎾 Fuel your supercharged tennis game I have been a devoted customer of GoGo Goodness for about a year now. I still cannot believe how delicious and nutritious the products are. I actual feel good after I eat them, unlike other sweets that have white sugar and when I eat them I don’t feel well afterwards. I really like the descriptions of the products and can feel the passion that goes into one. The baked goods are always moist and not too sweet. The Best Friend granola, Sublime Truffles and Bella Bites are my favorites! Keep up the great work! Addictive to Sets Tennis Podcast How to Fuel your Supercharged Tennis game with Healthy yet Tasty Food episode provides a great overview of GoGoGoodness.com. I have tried several of the Goodies they offer. Every item I’ve tried was delicious. Knowing the products are healthy is a bonus. Try some and you will want more. Great stuff for club players! Michelle has such a nice voice, makes listening to the podcast a relaxing experience. The questions that she asks her guests are right on point and keep the banter light and amusing. High quality podcast catering to the club player — thanks for putting this out there!",25,5
[''],[0], ,0,1
"['Great Cause The AF Canyon Podcast is a great way to get the word out about a great cause. It is worth your time to listen.', 'Great Cause Very inspirational and love the cause! I am excited to listen each week as train for this awesome race.']","[5, 5]",Great Cause The AF Canyon Podcast is a great way to get the word out about a great cause. It is worth your time to listen. Great Cause Very inspirational and love the cause! I am excited to listen each week as train for this awesome race.,10,2
[''],[0], ,0,1
"['Love this podcast! Great podcast!!! Love tuning in each week. I’m brand new to endurance sports + am finding the beauty + joy in it through my recovery process. Thank you both!!', ""Favorite podcast! I love your podcast. It took me forever to write a review, but I had never done it before and had to look up how to do so. You guys make an awesome team....a little bit about triathlon, a little of comedy, and a little bit about life....what could be better? And, as of the last episode, I guess I'll be doing IM Austria in 2022 with you guys. Sweet!!!"", 'Great endurance sport podcast Lindsey and Mike have a great dialogue. They are very honest and and without pretense. As someone just getting back into endurance sports, I really enjoy listening to this show and getting perspectives of other athletes and experts. Mike’s story (ep. 28) really hit home for me, and I’m glad Lindsey decided to add him to the show.', 'This is great! I love how honest you are! This is a great podcast, I hope you do more episodes by yourself! I love getting to know more about you and your journey into being fit', 'Informative, Relatable + Fun! Relatable advice from experts in their fields. Lindsay truly knows how to interview guests + encourage them to share their stories + advice in an engaging, open manner. Highly recommend!', 'Informative and enjoyable! I know Lindsay in real life but never knew she was such a natural interviewer. Great radio voice, too.', 'Fun Listen ', 'Excellent podcast Great stuff! I am a triathlete, not a newbie, but I was engaged and entertained the entire time. Thanks Lindsey and guests for sharing! -Lilian', 'Love the show! Thanks for providing such awesome content! I am new to the sport with just a couple of short races under my belt. The podcast with with Ed Torres was the first one I heard and now I am looking forward to the next challenge.', 'Great content! Great host and interesting guests', ""Great Voice, Great Storyteller, Great Motivator I'm a little biased as Lindsay is on my team, but what a great podcast! Lindsay has a great host and the episodes have a great flow! Well done!""]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","Love this podcast! Great podcast!!! Love tuning in each week. I’m brand new to endurance sports + am finding the beauty + joy in it through my recovery process. Thank you both!! Favorite podcast! I love your podcast. It took me forever to write a review, but I had never done it before and had to look up how to do so. You guys make an awesome team....a little bit about triathlon, a little of comedy, and a little bit about life....what could be better? And, as of the last episode, I guess I'll be doing IM Austria in 2022 with you guys. Sweet!!! Great endurance sport podcast Lindsey and Mike have a great dialogue. They are very honest and and without pretense. As someone just getting back into endurance sports, I really enjoy listening to this show and getting perspectives of other athletes and experts. Mike’s story (ep. 28) really hit home for me, and I’m glad Lindsey decided to add him to the show. This is great! I love how honest you are! This is a great podcast, I hope you do more episodes by yourself! I love getting to know more about you and your journey into being fit Informative, Relatable + Fun! Relatable advice from experts in their fields. Lindsay truly knows how to interview guests + encourage them to share their stories + advice in an engaging, open manner. Highly recommend! Informative and enjoyable! I know Lindsay in real life but never knew she was such a natural interviewer. Great radio voice, too. Fun Listen  Excellent podcast Great stuff! I am a triathlete, not a newbie, but I was engaged and entertained the entire time. Thanks Lindsey and guests for sharing! -Lilian Love the show! Thanks for providing such awesome content! I am new to the sport with just a couple of short races under my belt. The podcast with with Ed Torres was the first one I heard and now I am looking forward to the next challenge. Great content! Great host and interesting guests Great Voice, Great Storyteller, Great Motivator I'm a little biased as Lindsay is on my team, but what a great podcast! Lindsay has a great host and the episodes have a great flow! Well done!",55,11
[''],[0], ,0,1
[''],[0], ,0,1
[''],[0], ,0,1
[''],[0], ,0,1
[''],[0], ,0,1
"['Ali puts her heart and soul into these podcasts!!! Amazing Job Ali, you heart and soul can be felt in the types of questions you ask as well as the power of your curiosity and courage in sharing your own vision for our world. Thanks for having me on the show! - Josh Trent, Host of Wellness Foerce Radio', 'Fascinating This is such a great fitness/wellness podcast. I love it! The topics are interesting, and I like the diversity of interviewees.', 'Very informative Thanks so much for the helpful information!', 'A+ Info in getting fit!! I love this podcast! Packed with great information on getting in shape, doing it right and reaching your goals.', 'Informative Ali really knows her business and is always keen to helping every person she encounters on all subjects related to health and fitness. Her interviews are clearly understandable and helpful for beginners to elites.', ""Smart, Comprehensive, Conversations After listening to several of Ali's podcast it's clear to me that she consistantly has smart, informed conversations with her guests that bring out unexpected gems that one can apply, or simply appreciate gaining a clearer understanding of the subject. Definitely worth your time~ CJ""]","[5, 5, 5, 5, 5, 5]","Ali puts her heart and soul into these podcasts!!! Amazing Job Ali, you heart and soul can be felt in the types of questions you ask as well as the power of your curiosity and courage in sharing your own vision for our world. Thanks for having me on the show! - Josh Trent, Host of Wellness Foerce Radio Fascinating This is such a great fitness/wellness podcast. I love it! The topics are interesting, and I like the diversity of interviewees. Very informative Thanks so much for the helpful information! A+ Info in getting fit!! I love this podcast! Packed with great information on getting in shape, doing it right and reaching your goals. Informative Ali really knows her business and is always keen to helping every person she encounters on all subjects related to health and fitness. Her interviews are clearly understandable and helpful for beginners to elites. Smart, Comprehensive, Conversations After listening to several of Ali's podcast it's clear to me that she consistantly has smart, informed conversations with her guests that bring out unexpected gems that one can apply, or simply appreciate gaining a clearer understanding of the subject. Definitely worth your time~ CJ",30,6
[''],[0], ,0,1
"['The Real Deal Pay attention to what Jani and Sabrina are saying .. Learn the practice .. practice the practice .. then watch your life change in the most amazing ways.', 'Great podcast, great hosts ', 'MIndfulness is so key to a great life! If you’re looking for ways to relax and live a calmer life, Jani and Sabrina have you covered with this podcast. Love how they are focusing on how to help you live in alignment with your greatness and who you are meant to be. Their techniques work and I’m excited for future episodes.', 'Being in Alignment is Critical today! Love the energy Jani and Sabrina bring to these topics. Always big questions about what tools to use and I love that they show you how to stop adding more to-do items and how to live the life you want to live now.', ""Love SLU and Red! Red and Sabrina knock it out of the park with this podcast because being in alignment in today's world is, I think, critical to success in life, business, and relationships. If we aren't true to ourselves, how can we expect to move through the challenges that life throws at us? This podcast is SUPER exciting because they teach HOW to do just that, and they do it in the most aligned and authentic way! LOVE this podcast already!!"", ""We are under construction. All of us Great content from two awesome ladies -- SLU and Red! They are masters at leading you through living a life in alignment and living in the NOW. Can't wait to hear more episodes."", 'A Podcasts Whose Time Has Come This is a great podcast to listen to if you are working on the inner you AND the outer you. Co-hosted by two amazing women who have dedicated their lives to good vibes and love. A must listen.']","[5, 5, 5, 5, 5, 5, 5]","The Real Deal Pay attention to what Jani and Sabrina are saying .. Learn the practice .. practice the practice .. then watch your life change in the most amazing ways. Great podcast, great hosts  MIndfulness is so key to a great life! If you’re looking for ways to relax and live a calmer life, Jani and Sabrina have you covered with this podcast. Love how they are focusing on how to help you live in alignment with your greatness and who you are meant to be. Their techniques work and I’m excited for future episodes. Being in Alignment is Critical today! Love the energy Jani and Sabrina bring to these topics. Always big questions about what tools to use and I love that they show you how to stop adding more to-do items and how to live the life you want to live now. Love SLU and Red! Red and Sabrina knock it out of the park with this podcast because being in alignment in today's world is, I think, critical to success in life, business, and relationships. If we aren't true to ourselves, how can we expect to move through the challenges that life throws at us? This podcast is SUPER exciting because they teach HOW to do just that, and they do it in the most aligned and authentic way! LOVE this podcast already!! We are under construction. All of us Great content from two awesome ladies -- SLU and Red! They are masters at leading you through living a life in alignment and living in the NOW. Can't wait to hear more episodes. A Podcasts Whose Time Has Come This is a great podcast to listen to if you are working on the inner you AND the outer you. Co-hosted by two amazing women who have dedicated their lives to good vibes and love. A must listen.",35,7
[''],[0], ,0,1
[''],[0], ,0,1
[''],[0], ,0,1
"['Love Alkalign Unplugged! So much fun! Erin and Cathy invite us into their “home” and introduce us to the coolest people. Like Brian Weisfeld of The Startup Squad!', 'A true value to every human being Erin and Cathy’s passion about whole-body and mind functional fitness really comes through these podcasts. The content is intriguing AND helpful to me in my everyday life. Thanks for making this great content!', 'Love it Engaging & authentic content! Cathy & Erin are fun hosts who bring out the best in their guests. If fitness & overall wellness is your jam, this podcast is a must-subscribe.', 'Getting off the Stress Train Self care is so important. We have to take care of ourselves before anyone else! It’s ok to say no to people and put yourself first!', 'The Great Food Debate by Alkalign Unplugged What an incredible interesting & informative podcast highlighting not only healthy food ideas, but some unusual historical background on why certain foods have been labeled as “bad”! Thank you Erin & Cathy for a great series of podcasts.', 'Informative and engaging So inspired by the stories!', 'Authentic, Relevant and Fun I enjoy the content and look forward to the next episode!', 'Excellent - highly recommend! These behind the scenes, open and honest conversations are empowering to listen to. I feel like I can be a stronger and better version of myself after listening in 🙏🏻']","[5, 5, 5, 4, 5, 5, 5, 5]","Love Alkalign Unplugged! So much fun! Erin and Cathy invite us into their “home” and introduce us to the coolest people. Like Brian Weisfeld of The Startup Squad! A true value to every human being Erin and Cathy’s passion about whole-body and mind functional fitness really comes through these podcasts. The content is intriguing AND helpful to me in my everyday life. Thanks for making this great content! Love it Engaging & authentic content! Cathy & Erin are fun hosts who bring out the best in their guests. If fitness & overall wellness is your jam, this podcast is a must-subscribe. Getting off the Stress Train Self care is so important. We have to take care of ourselves before anyone else! It’s ok to say no to people and put yourself first! The Great Food Debate by Alkalign Unplugged What an incredible interesting & informative podcast highlighting not only healthy food ideas, but some unusual historical background on why certain foods have been labeled as “bad”! Thank you Erin & Cathy for a great series of podcasts. Informative and engaging So inspired by the stories! Authentic, Relevant and Fun I enjoy the content and look forward to the next episode! Excellent - highly recommend! These behind the scenes, open and honest conversations are empowering to listen to. I feel like I can be a stronger and better version of myself after listening in 🙏🏻",39,8
[''],[0], ,0,1
"['THE DEFINITIVE podcast for the rucking community Rucking? What the heck is THAT? If you are in any way curious about rucking—walking with a weighted backpack—you have found THE DEFINITIVE podcast. The show’s host, Brian, does a superb job in selecting guests, asking questions, guiding discussions, and getting great info to the listeners. The show is professionally edited and produced and is a treasure trove of knowledge for neophyte to vereran ruckers and GRTs and all in between. Hit the ‘subscribe’ button and get listening, and become a better rucker and better GRT.', 'Great listen An information trove for the GORUCK community.', 'Awesome podcast Love listening to this while out rucking. Thank you Brian for all you do!', 'A diamond in the ruck As long time Rucker, I was thrilled to learn that there is an avenue to learn and celebrate the thing I enjoy while commuting, rucking or what have you. Brian brings a broad array of interviews to the table and always seems to elicit an amazing thread of conversation in the process. Thank you for this and keep up the great work!', 'This right here. So I was surfing Instagram and saw a hashtag that stuck out. A quick google search introduced me to a post cast about rucking.', 'Shadow Medics... ', 'The Authority on Rucking ', 'The rucking authority ', 'addicted to this podcast Listening to interview with Tim Galloway talking about shadowing. Seems a bit preachy/ Señor GRT to me.. but whatever. He said he doesn’t know of “anybody who has shadowed an entire Heavy.” Well, plenty of the OG NORCAL GRTs have shadowed entire Heavies, myself included, on multiple occasions. It’s the only way to be there for the epic sunrise group photo! We used to have a pretty wild Shadow scene at San Francisco welcome parties, and no one got killed or hit by cars. Different era of GORUCK perhaps?', 'All the right moves ']","[5, 5, 5, 5, 5, 1, 5, 5, 5, 5]","THE DEFINITIVE podcast for the rucking community Rucking? What the heck is THAT? If you are in any way curious about rucking—walking with a weighted backpack—you have found THE DEFINITIVE podcast. The show’s host, Brian, does a superb job in selecting guests, asking questions, guiding discussions, and getting great info to the listeners. The show is professionally edited and produced and is a treasure trove of knowledge for neophyte to vereran ruckers and GRTs and all in between. Hit the ‘subscribe’ button and get listening, and become a better rucker and better GRT. Great listen An information trove for the GORUCK community. Awesome podcast Love listening to this while out rucking. Thank you Brian for all you do! A diamond in the ruck As long time Rucker, I was thrilled to learn that there is an avenue to learn and celebrate the thing I enjoy while commuting, rucking or what have you. Brian brings a broad array of interviews to the table and always seems to elicit an amazing thread of conversation in the process. Thank you for this and keep up the great work! This right here. So I was surfing Instagram and saw a hashtag that stuck out. A quick google search introduced me to a post cast about rucking. Shadow Medics...  The Authority on Rucking  The rucking authority  addicted to this podcast Listening to interview with Tim Galloway talking about shadowing. Seems a bit preachy/ Señor GRT to me.. but whatever. He said he doesn’t know of “anybody who has shadowed an entire Heavy.” Well, plenty of the OG NORCAL GRTs have shadowed entire Heavies, myself included, on multiple occasions. It’s the only way to be there for the epic sunrise group photo! We used to have a pretty wild Shadow scene at San Francisco welcome parties, and no one got killed or hit by cars. Different era of GORUCK perhaps? All the right moves ",46,10
"['Recommend!! If you like sports definitely give Ricky a shot! He knows his stuff and gives good options. I’ve enjoyed all his episodes. Keep up the good work!', 'Great Show I’m a Vikings fan like Ricky but he hosts a great show for any casual sports fan', 'Awesome! Great sports podcast! I love it!', 'Different perspective and great insight Smash that subscribe button and make sure you listen in!! Love this podcast and love following the show on social media as well!! Must listen if you are a sports fan!!', 'What can I say! One of the most fun and wild podcasts out there!! 10/10', 'My new Go-To! So sick of ESPN This is my new go-to for sports talk.', 'Dope! Great podcast with a plethora of information!', 'Useful Fantasy Info I usually do a lot of online injury report searches but now I get all the fantasy info I need from All Good Points.', 'Freakin’ Lit👌🏼 I love listening to varied different podcasts, and it’s always nice when it sounds like you’re just having a nice conversation with somebody. This podcast is really easy to plug into, and has taught me more about sports then I was expecting. All in all super well rounded podcast and I can’t wait to hear more.👌🏼']","[5, 5, 5, 5, 5, 5, 5, 5, 5]","Recommend!! If you like sports definitely give Ricky a shot! He knows his stuff and gives good options. I’ve enjoyed all his episodes. Keep up the good work! Great Show I’m a Vikings fan like Ricky but he hosts a great show for any casual sports fan Awesome! Great sports podcast! I love it! Different perspective and great insight Smash that subscribe button and make sure you listen in!! Love this podcast and love following the show on social media as well!! Must listen if you are a sports fan!! What can I say! One of the most fun and wild podcasts out there!! 10/10 My new Go-To! So sick of ESPN This is my new go-to for sports talk. Dope! Great podcast with a plethora of information! Useful Fantasy Info I usually do a lot of online injury report searches but now I get all the fantasy info I need from All Good Points. Freakin’ Lit👌🏼 I love listening to varied different podcasts, and it’s always nice when it sounds like you’re just having a nice conversation with somebody. This podcast is really easy to plug into, and has taught me more about sports then I was expecting. All in all super well rounded podcast and I can’t wait to hear more.👌🏼",45,9
[''],[0], ,0,1
"['Great Tips I love this podcast! Great tips for workout motivation. I do some of the tips but will institute the majority of your suggestions going forward. Keep on posting and suggesting, this is very helpful.', 'This is 1000% relatable Dawn - this is me! And this is the podcast I needed to hear. Love your candor & honesty with the trials to finding a healthy lifestyle. Can’t wait for more episodes! SUBSCRIBED.']","[5, 5]","Great Tips I love this podcast! Great tips for workout motivation. I do some of the tips but will institute the majority of your suggestions going forward. Keep on posting and suggesting, this is very helpful. This is 1000% relatable Dawn - this is me! And this is the podcast I needed to hear. Love your candor & honesty with the trials to finding a healthy lifestyle. Can’t wait for more episodes! SUBSCRIBED.",10,2
[''],[0], ,0,1
[''],[0], ,0,1
[''],[0], ,0,1
"['Great content This podcast delivers great, to the point, applicable information. Great job by all.', 'One of the best in the Fitness Biz Rick is one of my Go-to resources in all things fitness business. Very few have done it for longer or better.', 'Rick is a True Champion Invest your time and listen to anything Rick says or does.', 'Skate where the puck is going! ']","[5, 5, 5, 5]","Great content This podcast delivers great, to the point, applicable information. Great job by all. One of the best in the Fitness Biz Rick is one of my Go-to resources in all things fitness business. Very few have done it for longer or better. Rick is a True Champion Invest your time and listen to anything Rick says or does. Skate where the puck is going! ",20,4
[''],[0], ,0,1
[''],[0], ,0,1
"['Thanks! I hope I can help others with it! I love to listen to podcasts and always feel I have so much to say...so now I really truly can! Looking forward to getting going!', 'Cheering you on!!! Hi Rachel!!!So glad to see another voice in the choir for low carb,paleo healthy eating!!! I like your attitude and look forward to the first show!!!', ':) Great job Rachel! You r my inspiration!']","[5, 5, 5]","Thanks! I hope I can help others with it! I love to listen to podcasts and always feel I have so much to say...so now I really truly can! Looking forward to getting going! Cheering you on!!! Hi Rachel!!!So glad to see another voice in the choir for low carb,paleo healthy eating!!! I like your attitude and look forward to the first show!!! :) Great job Rachel! You r my inspiration!",15,3
[''],[0], ,0,1
[''],[0], ,0,1
[''],[0], ,0,1
