name,description
Mental Harmony,"The podcast to destigmatise mental health challenges faced by the average person whilst navigating through life. Self care as a form of self love. Family is a word, the bond is built and then trust earned. You choose your family. As an introduction to Mental harmony, I decided to talk summarise my 2019. My highs and lows and how I navigated through the year."
Mentally Fit,"Mentally Fit digs deep into the minds of everyday people to find out what they do to look after their mental health and wellbeing.  Join me, Richard Kerrigan as I chat openly to people from all walks of life extracting tips and tricks along the way and the routines and habits they believe in to stay mentally fit for life. JORDAN SYATT - Behaviour Habits and Motivation Life as a professional athlete with Ironman Kendrick Louis Breaking 3 in NYC - 4 weeks to go Movement, breath work and mindfulness with Richie Norton Why everyone should run Breaking 3 in NYC"
MesserFit Mafia,"Rearranging the Raw materials of Gods creation in such a way that helps people thrive and flourish I get to talk with the coolest girls at school. We go over what motivates these teenagers to focus on the gym, their nutrition, and other things real life stuff. We talk about the things we are thankful for in our training gym. An intro to how to deal with plateaus. 1) Reassess your habit 2) Cut calories/add calories 3) drink water 4) look at your workouts 5) Increase to Activities of daily living 6) manage stress 7) Sleep 8) Try Intermittent Fasting Lee needs to eat almost 6k calories a day and he doesn’t. How can he do this and stay healthy. We give some insight on programming and other stuff. Lee and I talk about our major injuries. We ramble a bunch. There’s some good info at the end."
METABOLIC,FitnessBiohackingCrossfitLife extension Nutrition Masculinity - Trump - Government - Anarchy - GMOs - chem trails - tainted water supply- Fitness - pharmaceuticals - Lobbying - Politics - Fake news- poker- nutrition - feminism -
Metafit Metamind Podcast,Welcome! Bienvenidos a Metafit Metamind! A place where we can have a conversation about physical and mental health and where we can make it a normal thing in our lives. El lugar donde podemos tener conversaciones normales sobre la salud Fisica y Mental.
Mex-Diesel Fit,Good Weightlifting tips and workouts. My personal fitness journey. Weight lifting tips and more!
Mickey's Nutrisystem Journey,Not Sponsered by Nutrisystem. Just a normal person doing the program!!! I started Nurtisystem....Here's my daily podcast telling you all about it
Mike Inspires Me Podcast,"Mike Harrington has been inspiring people all over the world sharing insights about his amazing 200 pound all natural weight loss. His mission is to inspire people to take charge of their lives and their health. To further expand his reach, Mike has launch this exciting podcast which will feature his insights on health, motivation, and interviews with inspiring people.For more information on Mike's story, check out:www.MikeInspiresMe.com Recently recognized by the National Fitness Hall of Fame for having the “First TV Fitness Program shot on Location”. With over 30 years in the fitness industry, Gilad Janklowicz is an icon.  Dionne Ross is a national  television shopping host, speaker, author, personal trainer, mom and an amazing super woman who doesn't let fear get in the way of her goals. We will be discussing her upcoming book, ""Settled To Soaring"", and how it can help you transform your life! The Sports Doctor is in! Dr. Robert A Weil, Sports Podiatrist, specializes in orthotics that improve alignment, stability, balance &amp; performance. He is the host of “The Sports Doctor™” Radio Show. The show is now featured on BBS Radio Network, UK Health Radio Network &amp; Sports 4 Fanz Radio. My thoughts around losing and/or gaining weight and people's comments or perceptions. Being in the public eye with my 200 pound weight loss opens me up to some interesting comments and observations, many of which I would not have expected. In the early days I used to get frustrated and defensive, now I am more curious about what drives people's perceptions and how we can help change some of these by educating. Recording of the Q&amp;A session with Vance Wade Hinds and Mike Harrington who both lost over 200 pounds.

Also, check out Vance's interview with Mike on the Mike Inspires Me podcast show on all major podcast hosts and right here:
http://mikeinspiresme.libsyn.com/mim-7-vance-hinds-interview In this episode I chat with Dr. Tom Rifai about the importance of using lifestyle changes as a first course of action for treating health issues. Dr. Tom is the founder of Reality Meets Science, a health coaching, consulting and education company. He is an expert in the areas of metabolic health and behavior modification based management of insulin resistance, type 2 and pre-diabetes, dyslipidemia, hypertension and weight control."
Mike Pacheco (Certified Nutritionist and CPT),"This podcast is to help people lose weight, create new habits and my experiences helping thousands of people in El Paso with losing weight. Support this podcast: https://anchor.fm/michael-pacheco1/support 15 minute audio, experiences and 

--- 

Support this podcast: https://anchor.fm/michael-pacheco1/support If you want to lose weight, create an environment where it is easy to eat healthy and it becomes hard or nearly impossible to eat badly.


--- 

Support this podcast: https://anchor.fm/michael-pacheco1/support I want my listeners to know that no matter what shape they may be in, no matter how long it's been since they worked out, no matter how many times they may have quit that they need to just get started. 


--- 

Support this podcast: https://anchor.fm/michael-pacheco1/support"
Mile High Endurance Podcast,"The Mile High Endurance Podcast is recorded in Denver, Colorado.   55 miles to the north is the triathlon 'Mecca' of Boulder, home of some of the most prominent pros in triathlon and related sports.  56 miles to the south is the US Olympic Training Center in Colorado Springs.  The Olympic Complex in Colorado Springs is the flagship training center for the U.S. Olympic Committee and the Olympic Training Center programs.The 110 mile stretch between Boulder and Colorado Springs is one of the fittest and athletic populated areas in the world.  I share these statistics, not so much to brag but to give you the listener context for what the culture and vibe is here in the Mile High area.​The objective of the Mile High Endurance Podcast is to connect you to the triathlon community and empower you to achieve your triathlon and fitness goals.   Each month we will take subjects that you are interested in and connect your interests with news, expert interviews, and information about services and products in a way that inform your decisions to achieve your full potential in the sport. Our guest this week is Jennifer Conroyd of Fluid Running is joining us to confirm that ""aqua jogging"" as we called it in the Tim O'Donnell interview is in fact the next big thing. Jennifer is an Ironman finisher and also a 15 time Boston Marathon qualifier.  She is an expert on fluid running and is here to tell us all about how to do it right, the science behind it, and why more and more professional athletes are turning to it. Our guest this week is Leadville 100 Trail Run finisher Jason Cohen. You may recall our mention of the Heavy as Lead documentary of Jason. You are about to hear his journey to transform himself from a body weight of nearly 300lbs to the fighting weight of an ultramarathoner. We have an amazing guest to tell us about an incredibly significant event happening over the January 18-19 weekend. The Australia Relief Run is an event that is being organized to occur all over the world.   Samantha Gash is an ultra runner and resident of Australia who set off a darn near viral event where runners can register for a virtual race to raise money for Red Cross to help victims of the Australian brush fires, which has had devastating death tolls, housing and habitat loss. Our guest this week is CEO and Co-Founder of Precision Hydration, Andy Blow. A few weeks ago we had Sarah Crowley on to talk about her podium performance in Kona and win at IRONMAN Arizona. As a part of that show we also had a discussion about how she prepares for hot races. Part of that preparation is training and racing with Precision Hydration. We have 7 time All American, Pan American Combined Events Champion, 5 time Team USA representative, among his accomplishments. He's a Colorado native and 2020 Decathlon Olympic hopeful. Chris Helwick in the house - welcome Chris! Thanks for joining me for our last interview of the year. This week's guest is coach, author, host of the Whole Athlete Podcast, and Functional Diagnostic Nutritionist, Debbie Potts. We are going to be talking about health and longevity and some ideas for how to prioritize your own health and longevity."
Miles of Fitness,"Join B100s Deb Miles on her fitness journey in the new podcast Miles of Fitness. This show is about the realities of fitness, wellness and losing weight. You wont find advice from a perfect in-shape person here! This is a show hosted by a middle-aged chubby woman on a fitness journey  and it is a journey. Getting to your destination can take a LONG time and sometimes you have to back track a bit (aka gain 20 lbs) to get where you want to go. But ultimately fitness is more about the journey itself. Deb is ready to get real  about her workouts, the food shes eating, the challenges shes dealing with and the successes shes achieving. Join Deb as she interviews experts, other people trying to achieve their own health and fitness goals, and even her therapist. New episodes drop on the first Monday every month. Deb does some kickboxing in her search for a new way to workout and stay on the right path on her Wellness Journey. So far over 75lbs down!"
Mind and Money,"Start living the life you've wanted.  Join Corey Butler and Shawn Todd's podcast (Ecivda Financial Planning Boutique) to hear about how to really improve your health, your wealth and your mindset. Interesting guests from a variety of entrepreneurial backgrounds to join them in delving into the topics of money, mindsets, and fitness.  Knowledge is power - and this should be a stop on your way to living better! More information can be found at www.ecivda.com and www.explainthis.ca Corey Butler and Shawn Todd have a fireside chat about life, how they ended up working together, and a little bit of discussion about reaching for goals! No stone is left unturned, and more similarities and challenges are discussed. Connect with Corey, Shawn, and Ecivda Financial Planning Boutique on Instagram, LinkedIN, YouTube, and Twitter.  Blog and Information on these topics can be found at explainthis.ca Corey Butler and Shawn Todd talk with Ruckify CEO Steve Cody, and Ruckify Growth Manager Murilo Torres. A powerful discussion on big moves, turning vision into reality, and the Ruckify culture. Peer to peer renting, environmental changes, goal setting, internal motivators, and challenges discussed. How to make 10 times your investment with an ironing board. Connect with Cory, Shawn, and Ecivda Financial on Instagram, Facebook, LinkedIN, YouTube, and Twitter. Blog on these topics and more at explainthis.ca Corey Butler and Shawn Todd take off on an exciting first episode of their Mind and Money Podcast! We talk with Aaron Gartner of Fitquest who works with high-level athletes including the Ottawa Senators.  A great discussion on how to achieve and the benefits of maintaining a strong mind and body. Connect with Corey, Shawn, and Ecivda Financial Planning Boutique on Instagram, Facebook, LinkedIn, YouTube and Twitter. Blog and information on these topics can be found at explainthis.ca "
Mind Body Gem,"Mind Body Gem, and that's GEM is a conversational podcast where we believe cultivating the mind, movement of the body, showing more love and compassion, especially for ourselves aligns us with our purpose and we become the GEM we are designed to be. It all started with a framework of how fitness saved my life. A brief introduction to season two of the Mind Body Gem Podcast, by our founder Rokki Bonner.   Rokki Bonner is also the Owner of Personal Fitness Navigators in Bexley, Ohio and the Creator of Fit to Navigate, LLC. During this episode we follow Alicia on her journey through discrimination, youth homelessness, drug addiction, denial, awareness, self-confidence, and wellness.  While behind bars she learns that she must disconnect from that habits and behaviors that lead to her incarceration.  This story from tragedy to triumph is sure to inspire all listeners. In this episode Chanelle vulnerably and transparently shares the trauma of terminating a pregnancy.  Listeners learn how that moment impacted her emotional well-being in ways she never expected.  Through yoga, Chanelle finds the balance she lost during her tenure as a scientific scholar at The Ohio State University.  She discovers self-forgiveness on her yogic journey and now enjoys her life as a mother of three beautiful young children. Asegedech interviews Rokki in this late night version of the podcast, driving deep with intimate questions as listeners discover the genesis of Mind Body Gem.  We learn why she chose to focus on community impact through the development of Fit to Navigate, a program which empowers incarcerated women through fitness and entrepreneurship. Rhonda shares her experience growing up as a middle-class African American and how learning through the arts expanded her academic experience.  Rhonda discusses her time working with children labeled as “problematic,” and successfully adjusting their behavioral habits through movement.  Listeners will discover that moving the body is a form of therapy and an effective means of combating depression, even under the circumstances of incarceration. Rokki randomness and the process of trying to remain healthy. Toronto Love!"
Mind Muscle and Movement Podcast,"Welcome to the Mind, Muscle, and Movement Podcast where we challenge your thinking, have fun and empower you to take action in your own life. The show is a blend of guests and solo episodes. Thank you for tuning in. www.lindseyheiserman.com Enneagram. Have you heard of it??  Do you know what type you are? Are you aware of your wing? Your subtype? WHOA!! I can’t wait for you to tune in. If you have NO IDEA what I’m talking about, you are in for a ride. I knew enough to be dangerous which is why I brought Danielle on to help us out. She is an Enneagram coach and helps us to understand the basics. 5 Lessons From The Last Decade

I share my personal stories from my last decade, what I've learned from them and how you can take them into your own life. Thoughts on goals and goal setting as we move into the new year. In This Episode We Talk About:

What is seasonal living?
Simple, simple changes to make in our day to day living
Natural remedies you can make at home (like fire cider – find recipe HERE)
How she integrates these practices with her clients
A deeper dive into Ayurveda In This Episode We Talk About:

How we met (I love when the universe makes connections)
Her story of self betrayal/loss of control
Judgements from others about pole dancing
Social media shadow bans
We break down common thoughts and judgements about pole
AND SO MUCH MORE Has the universe ever given you a HUGE sign that you should change your life? Have you been able to see it? Or have you just kept carrying on with your life? It can sometimes feel impossible to understand your path in life or tune in to the signs pointing you in a direction. 

In this fun episode Samantha and I talk about how to incorporate slowing down and tuning in into your every day life."
,
Mind Your Fitness Radio,"This is thee radio to tune in to for all things health, mindset & nutrition. Sharing tips & tricks on how to have a better brain, a better body, and all around a better life My friend Nolan Wickham and owner of True Physiques joins me for this episode today. We chat about how we met, fitness and addiction. It was such an awesome podcast to do and I hope you enjoy it too! You can find Nolan on IG at @true_physiques and on FB at True Physiques. This episode is brought to you by The Winter Warrior Challenge, 2019 edition. Co-coaches by Rae Fitness and True Physiques (with Nolan Wickham).

Check out more information and sign up here! www.raeofhopefitness.com/productsservices/winter-Warrior-challenge-2019

Follow me on IG: @jasmine.raeofhope
Friend me on FB: Jasmine Rae

Use this episode as a guide to change your habits on your new (or re-needed) pursue on a fitness journey. Practice gratitude, celebrate the small wins, and realize you GET to become better, healthier, &amp; hotter! Would you finally take your health seriously? All too often, we miss talking about our MOST important organ. This episode gives you 6 tips to implement now.

Check out Dr. Daniel Amen here:
www.amenclinics.com

His books I recommend: Change Your Brain, Change Your Life, Unchain Your Brain, and Unleash the Power of the Female Brain (and more)

Tag me on IG or Facebook: @jasmine.raeofhope

Check out my non-profit on IG or Facebook:
@raeofhopefitnessassociation Your Words Create OR Inhibit Change...which impact do YOU want to make? Today’s episode is very near and dear to my heart. Take a listen to this short, sweet, and straight to the point episode because it is my BEST one yet. I’m super excited to hear your feedback and appreciate your time immensely. Don’t forget to follow my non-profit on FB and IG @theraeofhopefoundation and my personal pages @jasmine.raeofhope Let's dive in to where exactly I got started in my fitness journey, where my mind and body were at to where I am in my journey now. Like this episode? Leave a review below, share with a friend and tag me while you’re listening on the ‘gram! @jasmine.raeofhope"
Mind Your Own Fitness,"Mind Your Own Fitness with Conrad Gonser Welcome everyone to my episode of Mind Your Own Fitness! today is an introduction about me, how i became a personal trainer and the obstacles i had to get through to build my business. as well as giving off 5 big tips that helped me the most through my journey that can help you and be used for any business."
"Mind, Muscle, and Soul","Health and fitness facts for everyone from the beginner to the experienced. With the New Year upon us, many people are looking for a new gym and/or a new trainer. In episode 16, we discuss the process of finding the right gym and the right trainer. It is very common for many people to get sick when starting a new exercise routine, or increasing the intensity of their exercise routine. In this episode, Mike speaks about why this happens, and now to hopefully avoid it. It’s only natural to have a weaker side while strength training. In episode number 14, Mike gives his advice as to how to overcome a weaker side, without compromising getting stronger on your stronger side. In episode 13 of the Mind, Muscle, and Soul Podcast, Mike discusses his thoughts on mental health. He also explains his own personal journey with mental health, and hopes to open up a broader conversation about it. In this episode, Mike discusses the importance of breathing properly to increase performance, recovery, and decrease stress. Writing a workout is more than just science, it’s an art. In this episode, Mike explains the thought process that he takes when writing workouts for Next Generation Training Center, and his own personal clients."
Mind=Body,Ex GB Swimmer Jacob Parker hosts a brand-new podcast series covering his fitness and weight loss journey since putting on over 8 stone. The upcoming series will cover everything from personal diet/workout regimes sports and understanding the psychology behind an incredible body transformation. Getting down to the truth of what went wrong and why A sneek peak as to what will be coming up on the next Mind=Body podcast
MindFit Motivation,Mindset Fitness Motivation
Mindful Fitness Podcast,"We aim to inspire you with tales of how our celebrity guests, CEOs, Mums,Dad's,Personal Trainers, wellness folk are managing to squeeze Health and Fitness into their busy lifestyles. Today’s sessions is a 10-minute Microcast! Short and sweet to fit into your day...but to give you an insight into my Mindful Fitness Formula. Sol Cups, Social Media and Staying Positive in the Midst of Life Struggles. Lee Holmes is a powerhouse in the Wellness space with nine books, multiple online courses plus an ever-expanding gut focussed product range. She quickly changes my mind on intermittent fasting, inspires me to go on a cooking holiday and also re-affirms my approach to health, of not trying to be too perfect all the time. Life is long people, we’ve got to enjoy the ride! I hope you enjoy this podcast too. Dan is is a highly sort after Metabolic Nutritionist and been a Personal Trainer for over 13 years. We discuss common limiting factors clients can make when trying to get in shape and our best advice on how to overcome them and reach those goals. Brittany (@wholefoodhealing) and Jacqueline (@brownpapernutrition) are both successful Nutritionists and Mummies who are now running the popular Nutrition Collective Workshops. These aim teach to new and expecting mums everything they need to know about looking after themselves and their babies. Katie is one of the Women’s Health's most Fitfluential Women of 2019 and is known as @lady.lolas the meal-prepping queen to her Instagram tribe. We have great fun discusses how to get consistent and make new healthy eating habits that last!"
Mindful Meathead,"Welcome to the Mindful Meathead podcast. The podcast is based around fitness and bodybuilding and touching on topics of training, nutrition, and completion while going over a deeper meaning and philosophy behind the sport. Awesome interview with Justin Dees and IFBB Pro Heather Dees. Updates with the boys, overcoming obstacles, bodybuilding keeping us grounded and some Q&amp;A. The boys are back! Updates with the guys, Arnold Classic Predictions, &amp; plenty of Q&amp;A.Contact Info:Click Herezackprior@icloud.comZack Prior - www.instagram.com/zackpriorMike Kleeves - www.instgram.com/realsteelkleevesBrandon Barrow - www.instagram.com/bbarrow91Martin Fitzwater - www.instagram.com/martfitzh20_bodybuilding Interview with IFBB Pro and Iron Rebel Athlete Luke ""The Hulk"" CarrollContact Info:Click Herezackprior@icloud.comZack Prior - www.instagram.com/zackpriorLuke Carroll - https://www.instagram.com/luke_the_hulk/Martin Fitzwater - https://www.instagram.com/martfitzh20_bodybuilding/ Deadlift December, Martin's Marijuana Education, Zack's Mushroom Micro-dosing Experiment, Brief NPC Nats convo and many more topics to catch up on with the guys.Contact Info:Click Herezackprior@icloud.comZack Prior - www.instagram.com/zackpriorMike Kleeves - www.instgram.com/realsteelkleevesBrandon Barrow - www.instagram.com/bbarrow91Martin Fitzwater - www.instagram.com/martfitzh20_bodybuilding"
Mindset Podcast,"Abordaremos em nosso podcast temas como:Relacionamento,fitness,mindset e lifestyle.Iremos mostrar pra vocês como é a vida de um casal fitness. Fala galeraaaa.Hoje vamos falar pra vocês como é um pouco da nossa rotina,e ensinar um pouco pra vocês como ser mais independente.
Ouçam e esperamos que vocês gostem.
Tmj❤️ Fala galera beleza?! Bom, nesse podcast iremos desabafar um pouco sobre como as pessoas são com as dietas e os treinos, espero que gostem! Fala galera,saindo pra vocês mais um podcast.
Abordaremos um pouco sobre o amor ,esse sentimento tão bom de sentir e compartilhar.
Esperamos que gostem e compartilhem com seus amigos e familiares.
Tmj❤️ Fala galera,gravamos um novo podcast pra vocês e nele falamos um pouco sobre oque é a depressão,ansiedade e falamos um pouco de nossas experiências com isso.
Esperamos que gostem e se você conhece alguém que está passando por isso,ajude e dê o total apoio. Fala galera, nesse podcast iremos falar um pouco das nossas histórias,nossas origens e claro com tudo isso,deixar um aprendizado para vocês.
Estamos aqui para agregar valor e conhecimento à vocês.
Esperamos que gostem.
Até o próximo ❤️ Fala galerinha beleza?! Bom esse é um mini-podcast onde eu aborto algumas idéias com as minhas experiências vividas até agora e agregar valor passando uma mensagem pra vcs sempre estarem com o mindset intacto! 🔥 Espero que gostem 🥳🥰💪🏻"
Mississippi Muscle Podcast,"The Mississippi Muscle Podcast is recorded out of Rah's Gym on the beautiful Mississippi Gulf Coast.  Host Raoul ""Rah"" Boughton brings on guests primarily from the south that are trying to spread health and fitness awareness.  Mississippi has a bad reputation of being an ""obese"" state.  This podcast is here to change that outlook and to show the rest of the US the fitness culture of the Gulf Coast. Isreal Borja is an amateur NPC Athlete, aspiring IFBB Pro, and a long time friend Rah's.  In this Podcast Isreal and Rah talk about Isreal's journey so far in the world of competitive body building, as well as hit on some good times in the past. Hope you enjoy Episode 4 of the podcast. Josh Garcia has only been Bay High School's Power Lifting Coach for the past 2 years but his athletes have already made some huge accomplishments, and the turnout at tryouts for his team keep increasing by the year.  Josh brings a whole new level of positivity to the weight room, and to life in general. I have definitely enjoyed becoming his friend this past couple of years and was thrilled to have him on the podcast. Hope you enjoy it. On Episode 2 of the Mississippi Muscle Podcast, Rah sits down with Demitry Johnson of Black Magic Fitness.  Demitry is the go to Trainer in Bay St. Louis.  We discuss his brand, his goals, his wonderful clients, and his views on living here on the Mississippi Gulf Coast.  Thanks for listening to Episode 2, I hope you like it. On the first episode of the podcast we have the guys of Flatline MMA, Cameron Boughton and Carlos Talavera. We discuss the start of their beginnings of a fight team, what the future holds for them, and Carlos signs a contract for fight in August. Hope you enjoy the show."
Mitchell’s Run Thru Rockford,"A 5k Run and walk in Rockford, Michigan. John Gonzalez prepares for Mitchell’s Run Thru Rockford, Aug. 17, 2019."
Miz Unfiltered,"Miz Unfiltered is a place to get your ear candy. We talk about lifestyle, psychology, creativity, comedy, fitness, nutrition, business, and so much more. Uncut and Unfiltered, let’s explore. Your host is Misbah Haque - Stand Up Comedian, Coach at Revival Strength, and a serial podcaster. You can find his other podcasts by heading over to mizhq.com. Or search for: Look Good Move Well and The Unfiltered Human. Misbah talks about using an exercise called the color walk to develop your awareness and hone the skill of noticing. Misbah talks about how to compartmentalize the overwhelming influx of information in your mind, so that you can use it instead of it using you. The bar is no longer the only place where you might find your partner. Gyms have slowly become like mating palaces. There are low key baboons on the hunt -- everywhere. Kelsi and Misbah talk about some of the weirdest approaches she's had at the gym. What should you NEVER EVER do? What has worked? What hasn't? And why? You will either be able to relate to this because you've seen it in action, it's happened to you, or you've thought about trying it. Either way, you will probably laugh your ass off.  Misbah talks about Blu Blockers and having those eyes behind shades at night time. This episode is geared towards beginners who would be interested in producing higher quality photos and videos. What camera should you invest in? What accessories are essential? What editing software do you need? And how do you start to build the skills necessary to create a finished product? Misbah talks about the game changing manifesto for creatives out there trying to share their work. This concept can be applied to business owners, podcasters, coaches, you name it."
